census_tract,block_group,total_pop,pct_white,pct_black,stat_nb
101,1,"1,135",92.30%,2.00%,Canton
101,2,967,93.30%,2.00%,Canton
101,3,920,86.10%,9.00%,Canton
102,1,825,61.90%,17.60%,Patterson Park Neighborhood
102,2,578,83.40%,5.70%,Canton
102,3,942,88.00%,3.20%,Canton
102,4,664,67.30%,12.70%,Patterson Park
103,1,938,88.00%,4.50%,Canton
103,2,"1,270",89.60%,4.10%,Canton
104,1,910,89.80%,3.00%,Canton
104,2,"1,960",85.50%,4.60%,Canton
105,1,846,84.60%,6.70%,Butcher's Hill
105,2,878,82.90%,3.20%,Upper Fells Point
201,1,726,71.30%,14.70%,Butcher's Hill
201,2,"1,158",81.80%,6.60%,Upper Fells Point
202,1,902,52.80%,21.60%,Washington Hill
202,2,"1,185",61.40%,9.70%,Upper Fells Point
203,1,"1,141",83.70%,3.80%,Fells Point
203,2,"1,040",83.20%,6.40%,Fells Point
203,3,"1,163",86.30%,3.30%,Fells Point
301,1,"2,194",11.20%,80.30%,Perkins Homes
301,2,871,18.30%,69.30%,Washington Hill
302,1,"1,222",29.90%,59.70%,Jonestown
302,2,"1,120",80.40%,5.40%,Inner Harbor
401,1,"1,691",53.70%,25.50%,Downtown
401,2,"2,315",46.50%,23.90%,Downtown
402,1,838,45.80%,28.50%,University Of Maryland
601,1,725,20.30%,62.30%,Ellwood Park/Monument
601,2,"1,128",42.00%,35.60%,Patterson Park Neighborhood
601,3,703,53.10%,33.60%,Patterson Park Neighborhood
601,4,666,16.50%,68.00%,McElderry Park
602,1,535,12.10%,68.20%,McElderry Park
602,2,541,61.20%,28.80%,Patterson Park Neighborhood
602,3,718,53.10%,35.00%,Patterson Park Neighborhood
602,4,830,41.80%,44.00%,Patterson Place
602,5,641,13.30%,77.50%,McElderry Park
603,1,697,14.10%,79.10%,CARE
603,2,"1,103",53.20%,28.30%,Butcher's Hill
604,1,496,25.00%,61.70%,Dunbar-Broadway
604,2,687,20.70%,74.20%,CARE
701,1,"1,192",2.80%,94.20%,Madison-Eastend
701,2,"1,765",6.80%,86.70%,Ellwood Park/Monument
702,1,576,1.70%,93.90%,Milton-Montford
702,2,991,1.40%,96.20%,Madison-Eastend
702,3,940,5.60%,89.40%,McElderry Park
702,4,560,4.50%,84.60%,McElderry Park
702,5,715,1.30%,94.80%,Milton-Montford
703,1,610,6.70%,87.70%,CARE
703,2,432,2.30%,96.30%,Middle East
704,1,169,1.80%,98.20%,Middle East
704,2,252,2.00%,97.20%,Middle East
704,3,820,1.20%,96.20%,Gay Street
801.01,1,707,76.70%,16.40%,Mayfield
801.01,2,878,20.70%,76.80%,Belair-Edison
801.01,3,"1,288",7.40%,89.80%,Belair-Edison
801.01,4,"1,008",10.90%,85.60%,Belair-Edison
801.02,1,928,2.70%,96.20%,Belair-Edison
801.02,2,"1,580",2.00%,95.30%,Four By Four
802,1,425,1.90%,96.70%,Berea
802,2,594,1.30%,95.50%,Brodway East
802,3,566,0.70%,95.40%,Brodway East
803.01,1,447,1.80%,95.50%,Brodway East
803.01,2,941,0.60%,98.40%,Berea
803.01,3,696,1.00%,97.60%,Biddle Street
803.02,1,466,0.00%,97.40%,Berea
803.02,2,612,0.20%,98.50%,Biddle Street
803.02,3,865,0.80%,97.90%,Berea
803.02,4,994,1.00%,97.90%,Berea
804,1,754,2.50%,95.40%,Brodway East
804,2,810,3.20%,94.30%,Middle East
805,1,543,0.70%,97.40%,Darley Park
805,2,675,0.40%,97.80%,Darley Park
805,3,486,1.00%,97.10%,South Clifton Park
806,1,695,1.00%,98.00%,Brodway East
806,2,531,1.50%,96.60%,Oliver
806,3,452,2.20%,96.00%,Brodway East
806,4,791,2.90%,94.70%,Broadway East
807,1,577,1.70%,95.30%,Oliver
807,2,560,2.10%,95.70%,Oliver
808,1,305,1.30%,98.70%,Middle East
808,2,976,1.10%,97.10%,Gay Street
901,1,"1,139",5.40%,90.40%,Pen Lucy
901,2,687,10.60%,87.50%,Ednor Gardens-Lakeside
901,3,"1,074",16.80%,79.60%,Ednor Gardens-Lakeside
901,4,637,14.10%,82.10%,Pen Lucy
901,5,714,2.10%,94.70%,Pen Lucy
902,1,"1,682",24.90%,70.70%,Montebello
902,2,"1,561",5.50%,90.50%,Ednor Gardens-Lakeside
903,1,548,17.30%,79.40%,Ednor Gardens-Lakeside
903,2,923,11.70%,82.10%,Ednor Gardens-Lakeside
903,3,804,46.10%,47.60%,Ednor Gardens-Lakeside
903,4,"1,928",13.70%,81.50%,Waverly
904,1,"1,118",13.50%,83.70%,Better Waverly
904,2,468,2.10%,96.60%,Better Waverly
905,1,705,1.30%,95.90%,Coldstream Homestead Motebello
905,2,"1,259",18.10%,75.20%,Better Waverly
906,1,789,2.20%,93.20%,Coldstream Homestead Motebello
906,2,"1,050",1.00%,97.00%,Coldstream Homestead Motebello
906,3,591,2.40%,95.80%,Coldstream Homestead Motebello
906,4,972,2.60%,95.60%,Coldstream Homestead Motebello
907,1,948,0.70%,96.70%,Coldstream Homestead Motebello
907,2,605,1.30%,96.40%,Coldstream Homestead Motebello
907,3,953,1.20%,96.60%,Coldstream Homestead Motebello
907,4,643,2.60%,96.10%,Coldstream Homestead Motebello
908,1,520,0.80%,95.20%,East Baltimore Midway
908,2,662,1.80%,96.10%,East Baltimore Midway
908,3,452,2.00%,96.20%,East Baltimore Midway
908,4,"1,010",0.80%,98.30%,East Baltimore Midway
908,5,429,1.60%,93.70%,East Baltimore Midway
909,1,384,1.00%,94.50%,Oliver
909,2,499,1.20%,97.20%,Oliver
909,3,627,1.90%,96.00%,Oliver
909,4,942,1.50%,96.80%,Oliver
1001,1,744,1.50%,96.40%,Johnston Square
1001,2,401,4.20%,91.50%,Johnston Square
1001,3,370,1.40%,98.40%,Gay Street
1001,4,611,0.20%,98.50%,Johnston Square
1002,1,768,0.80%,98.30%,Oldtown
1002,2,"1,416",0.20%,96.70%,Oldtown
1002,3,583,1.50%,96.70%,Oldtown
1003,1,"5,237",15.40%,83.30%,Penn-Fallsway
1101,1,"2,012",62.40%,25.10%,Mid-Town Belvedere
1101,2,"1,211",58.50%,20.60%,Mount Vernon
1102,1,"1,884",58.30%,26.20%,Mid-Town Belvedere
1102,2,"1,551",63.10%,23.00%,Mount Vernon
1102,3,"1,637",57.40%,30.40%,Mount Vernon
1201,1,"1,377",76.20%,15.00%,Guilford
1201,2,804,69.90%,4.70%,Tuscany-Canterbury
1201,3,"1,149",75.30%,5.70%,Tuscany-Canterbury
1201,4,"1,460",65.30%,3.40%,Tuscany-Canterbury
1202.01,1,"1,144",71.90%,11.40%,Oakenshawe
1202.01,2,889,68.20%,24.00%,Abell
1202.02,1,651,59.10%,3.80%,Johns Hopkins Homewood
1202.02,2,760,38.40%,8.70%,Charles Village
1202.02,3,"2,070",58.40%,5.50%,Charles Village
1202.02,4,"1,466",69.60%,10.10%,Charles Village
1202.02,5,"1,277",60.80%,10.30%,Charles Village
1203,1,854,44.80%,47.10%,Harwood
1203,2,768,38.20%,54.00%,Harwood
1203,3,750,34.10%,58.10%,Harwood
1203,4,"1,180",23.60%,70.80%,Barclay
1204,1,563,6.70%,87.00%,Barclay
1204,2,750,16.50%,77.90%,Barclay
1205,1,690,19.90%,72.60%,Charles North
1205,2,"1,061",30.70%,65.00%,Greenmount West
1206,1,889,45.10%,42.20%,Charles Village
1206,2,"1,227",42.20%,42.80%,Charles Village
1206,3,"1,153",14.10%,73.60%,Charles North
1207,1,780,68.30%,13.60%,Remington
1207,2,895,50.10%,33.40%,Remington
1207,3,801,58.40%,30.10%,Remington
