census_tract,block_group,total_pop,pct_white,pct_black,stat_nb
101,1,1135,0.923,0.02,Canton
101,2,967,0.933,0.02,Canton
101,3,920,0.861,0.09,Canton
102,1,825,0.619,0.176,Patterson Park Neighborhood
102,2,578,0.834,0.057,Canton
102,3,942,0.88,0.032,Canton
102,4,664,0.673,0.127,Patterson Park
103,1,938,0.88,0.045,Canton
103,2,1270,0.896,0.041,Canton
104,1,910,0.898,0.03,Canton
104,2,1960,0.855,0.046,Canton
105,1,846,0.846,0.067,Butcher's Hill
105,2,878,0.829,0.032,Upper Fells Point
201,1,726,0.713,0.147,Butcher's Hill
201,2,1158,0.818,0.066,Upper Fells Point
202,1,902,0.528,0.216,Washington Hill
202,2,1185,0.614,0.097,Upper Fells Point
203,1,1141,0.837,0.038,Fells Point
203,2,1040,0.832,0.064,Fells Point
203,3,1163,0.863,0.033,Fells Point
301,1,2194,0.112,0.803,Perkins Homes
301,2,871,0.183,0.693,Washington Hill
302,1,1222,0.299,0.597,Jonestown
302,2,1120,0.804,0.054,Little Italy
401,1,1691,0.537,0.255,Downtown
401,2,2315,0.465,0.239,Downtown
402,1,838,0.458,0.285,University Of Maryland
601,1,725,0.203,0.623,Ellwood Park/Monument
601,2,1128,0.42,0.356,Patterson Park Neighborhood
601,3,703,0.531,0.336,Patterson Park Neighborhood
601,4,666,0.165,0.68,McElderry Park
602,1,535,0.121,0.682,McElderry Park
602,2,541,0.612,0.288,Patterson Park Neighborhood
602,3,718,0.531,0.35,Patterson Park Neighborhood
602,4,830,0.418,0.44,Patterson Place
602,5,641,0.133,0.775,McElderry Park
603,1,697,0.141,0.791,CARE
603,2,1103,0.532,0.283,Butcher's Hill
604,1,496,0.25,0.617,Dunbar-Broadway
604,2,687,0.207,0.742,CARE
701,1,1192,0.028,0.942,Madison-Eastend
701,2,1765,0.068,0.867,Ellwood Park/Monument
702,1,576,0.017,0.939,Milton-Montford
702,2,991,0.014,0.962,Madison-Eastend
702,3,940,0.056,0.894,McElderry Park
702,4,560,0.045,0.846,McElderry Park
702,5,715,0.013,0.948,Milton-Montford
703,1,610,0.067,0.877,CARE
703,2,432,0.023,0.963,Middle East
704,1,169,0.018,0.982,Middle East
704,2,252,0.02,0.972,Middle East
704,3,820,0.012,0.962,Gay Street
801.01,1,707,0.767,0.164,Mayfield
801.01,2,878,0.207,0.768,Belair-Edison
801.01,3,1288,0.074,0.898,Belair-Edison
801.01,4,1008,0.109,0.856,Belair-Edison
801.02,1,928,0.027,0.962,Belair-Edison
801.02,2,1580,0.02,0.953,Four By Four
