GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",1135,524,24,7,6,6,3,4,1,34,135,96,40,33,31,22,25,8,14,2,4,10,10,4,5,611,20,5,4,8,2,3,1,68,162,104,47,26,22,24,20,12,14,10,9,11,10,13,16
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",967,476,21,12,8,1,3,0,2,53,119,85,34,22,19,19,24,8,7,11,6,9,7,4,2,491,18,12,6,2,3,0,1,57,144,63,37,23,22,18,18,9,10,5,2,12,9,11,9
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",920,406,11,3,4,2,0,0,2,20,61,48,29,25,27,25,39,6,10,11,15,26,21,10,11,514,9,1,3,2,2,0,2,50,73,47,24,19,34,20,42,12,23,10,16,29,28,25,43
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",825,439,34,23,19,6,11,5,3,25,71,72,40,30,23,18,20,6,3,5,5,6,8,2,4,386,27,15,14,4,7,3,5,25,52,59,32,20,29,24,14,4,7,5,8,12,7,9,4
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",578,290,16,5,12,3,8,3,2,16,44,37,26,22,23,14,16,5,7,3,3,7,5,5,8,288,13,6,9,4,2,1,3,10,72,41,26,15,16,7,15,6,2,3,3,7,9,7,11
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",942,473,30,9,7,3,5,2,1,39,103,84,44,31,27,16,19,9,13,1,5,7,8,5,5,469,19,8,6,5,3,4,2,37,114,70,33,16,23,23,21,9,9,5,6,19,9,13,15
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",664,321,27,12,15,4,4,3,3,15,56,59,23,29,25,15,9,8,6,0,4,2,1,0,1,343,30,15,10,6,2,5,2,14,62,58,28,19,22,14,15,8,7,3,10,5,3,3,2
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",938,498,34,16,7,4,3,1,2,27,128,80,52,25,23,17,25,9,10,3,6,11,7,5,3,440,26,9,5,5,1,3,2,28,107,70,49,17,21,20,20,8,8,4,4,7,4,13,9
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",1270,640,27,9,8,7,8,10,5,70,170,100,60,32,27,25,25,8,10,6,8,11,4,7,3,630,18,7,6,5,4,2,9,94,186,100,37,22,29,28,21,6,12,5,7,10,7,3,12
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",910,452,22,3,5,2,1,3,3,31,116,63,54,31,17,20,19,6,8,6,10,12,10,4,6,458,20,2,3,1,1,2,3,73,125,66,38,15,14,12,15,5,6,3,7,4,13,13,17
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",1960,1015,42,8,8,6,3,3,7,44,190,160,102,93,50,82,60,29,29,29,23,20,14,10,3,945,43,10,8,3,4,1,11,80,260,117,70,62,45,36,61,19,28,20,13,20,16,5,13
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",846,411,19,6,9,3,4,2,2,17,78,51,48,46,28,21,29,4,14,7,6,5,5,4,3,435,35,12,3,5,2,4,2,36,104,48,51,23,24,18,17,7,4,6,5,10,12,2,5
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",878,439,23,8,12,4,4,3,3,30,84,65,41,34,33,25,25,8,5,5,7,8,6,4,2,439,23,10,6,4,4,2,2,40,78,57,51,37,31,21,21,10,7,6,2,4,5,8,10
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",726,372,24,13,9,6,5,3,2,36,75,54,32,27,27,10,19,6,9,4,2,3,1,4,1,354,19,7,14,7,4,0,2,32,76,52,43,20,13,14,17,9,8,3,3,2,5,3,1
