neighborhood,nBlockGroups,area_acres,total_pop,pct_white,pct_black
Abell,1,75.19015868475154,889,0.682,0.24
Allendale,3,415.15287724585954,2827,0.0055196321188539085,0.9804612663600991
Arcadia-Parkside,2,287.1278059879397,1698,0.4441484098939929,0.4962685512367492
Arlington,3,231.21119552975367,3175,0.012628346456692913,0.9624913385826771
Armistead Gardens,4,547.1095969820109,3269,0.7771437748546957,0.03501193025390027
Ashburton,4,482.0889816201267,3602,0.014136035535813437,0.9632890061077178
Baltimore Highlands,2,247.13784337865414,2814,0.37781094527363185,0.27732054015636104
Barclay,3,188.24727443599318,2493,0.17647452868030483,0.7659446450060169
Barre's Delight,2,172.63275555147834,2798,0.4935028591851322,0.3949899928520372
Beechfield,2,399.48042105966897,3626,0.08569635962493105,0.8793400441257584
Belair-Edison,16,867.5894305772403,16373,0.08109521773651743,0.8954715079704393
Bellona-Gittings-Orchards,1,419.11262914045665,1298,0.837,0.085
Belvedere,1,160.58273504610963,991,0.306,0.665
Berea,4,314.37154253388786,2826,0.008372611464968153,0.9780357395612171
Better Waverly,3,278.92862793752283,2845,0.13660351493848855,0.820605272407733
Beverly Hills,1,91.02473759076803,595,0.555,0.41
Biddle Street,3,154.79720611624182,2173,0.006950759318913944,0.9797289461573861
Bolton Hill,4,235.96826414809146,4974,0.564481302774427,0.3178833936469642
Brewers Hill,1,45.694704229025156,868,0.859,0.037
Bridgeview/Greenlawn,3,318.83409837216396,2441,0.0040397378123719786,0.983470708725932
Broadway East,1,44.14184406919094,791,0.029,0.947
Brodway East,6,262.7847060712573,3508,0.01581356898517674,0.9602209236031927
Broening Manor,1,169.4772641041252,1726,0.615,0.19899999999999998
Brooklyn,8,711.9332603608735,8775,0.5061060968660969,0.37425777777777774
Burleith-Leighton,1,186.7172767096602,738,0.007,0.963
Butcher's Hill,3,95.49179882443244,2675,0.6804299065420562,0.17777682242990653
CARE,3,167.10728765646462,1994,0.1411013039117352,0.8004267803410231
Cameron Village,2,206.01477774068042,1935,0.0549891472868217,0.9171286821705427
Canton,14,709.7076404360004,13475,0.8747106493506492,0.04277358070500927
Carroll-South Hilton,2,580.8113193206846,2042,0.24737806072477964,0.7239764936336925
Carrollton Ridge,6,250.524391982327,4405,0.293027922814983,0.6256406356413167
Cedarcroft,1,133.64921485950157,660,0.895,0.05499999999999999
Cedmont,3,430.7819308064325,2721,0.4477578096288129,0.5066835722160971
Cedonia,4,340.62288806315246,3513,0.058664958724736684,0.9149695417022488
Central Forest Park,1,56.90065134490464,398,0.015,0.962
Central Park Heights,9,560.2805488657705,6716,0.017362567004169147,0.959692078618225
Charles North,2,169.75966343490532,1843,0.16271459576776992,0.7322561041779707
Charles Village,6,260.96764812783454,7689,0.5483424372480167,0.17686058004942123
Cherry Hill,7,1311.307446404195,8397,0.02919506966773848,0.944539240204835
Cheswolde,6,912.0480869658585,7500,0.7705954666666667,0.14875693333333334
Chinquapin Park,1,88.99450139112874,1038,0.063,0.894
Coldspring,1,680.9319308102771,985,0.16400000000000003,0.761
Coldstream Homestead Motebello,9,515.6115400975555,7256,0.016418687982359424,0.959731256890849
Concerned Citizens Of Forest Park,1,74.14004263705226,1024,0.016,0.972
Coppin Heights/Ash-Co-East,3,165.7358716408906,2478,0.008240112994350283,0.9761271186440678
Cross Country,4,667.9614446098191,5247,0.7782315608919382,0.16977854011816276
Cross Keys,1,309.43591964157537,856,0.8469999999999999,0.099
Curtis Bay,5,762.6814065647152,5468,0.5440546817849305,0.3487761521580103
Cylburn,3,231.03954534855305,2210,0.01543891402714932,0.957466515837104
Darley Park,2,53.51747866184022,1218,0.00533743842364532,0.9762167487684729
Dickeyville,1,315.7523582264521,1136,0.07,0.9109999999999999
Dolfield,3,235.15595784003153,2670,0.02246067415730337,0.954240074906367
Dorchester,3,314.18295851654665,2402,0.01636677768526228,0.9707510407993337
Downtown,2,490.92382519243836,4006,0.49539241138292567,0.2457538691962057
Druid Heights,3,129.65874084591132,1681,0.021409875074360495,0.9478471148126115
Dunbar-Broadway,2,211.16494485022994,1378,0.12326850507982584,0.7501320754716981
East Arlington,1,154.62758162834362,2194,0.007,0.977
East Baltimore Midway,5,349.4114780737921,3073,0.013036121054344289,0.9635043931012041
Easterwood,2,81.47911439862077,1702,0.006405405405405405,0.9799459459459459
